"original_creator","creations","max_depth"
"0x54b37843f7b951638d9a27a231f72de309c1b88d",13053,2
"0xfae24b41f509821a14c43f3826332d62cb6295b3",12902,3
"0x6552316697951435772137032762628463705058",12791,2
"0x35bb53120c75772714e7e4e5b5784851460b1381",12707,2
"0x744a51071df3b05cc78d1bee8cebd3018fbd095e",12511,1
"0x11142396bf5331381c8dd02669f1ed4a0be70d8d",12342,2
"0x088876687ac7c4c60cbc0690a4bfae0971964162",12342,2
"0x152a904475bdc2137db3a8eca7f8fdbf5c5518fb",11974,2
"0x6fe07534ca621693e335eda439c64c23dc03e30e",11965,2
"0x9424df02952d7c9b7c90c6fd89ff0c8515aeaab9",11951,2
"0xb59bff945a74a427c74fb27ae423fcf81da27c24",11637,2
"0x544c95080a81f25779e44fa715a881e69febfd37",11500,1
"0x165c27b635383fa2e39a05dd24f7e37a3ebb3848",11378,1
"0x5a374ac6de714523ae046b9b89d99918588b8be6",11114,2
"0x820d115b9c982260edaa1741812d1f85132736b5",11088,3
"0x229f779718d50228cb009745d684a77ffcd46756",11077,2
"0xf1ba76d490183a10b29f4dfc89d84c1f9b41dd3d",10774,2
"0x974abd318239d7fea478a8e4d27549c8460e25e0",10706,2
"0x27d7f6147a8748454b88be685c2804f96bf69db1",10681,2
"0x9846ccad919446c1cce8a1aabfe0a88443c4d3fb",10558,2
"0xee7a4b8302e9b423a278f6578381bcf7ea8d311e",10513,2
"0x868964fa49a6fd6e116fe82c8f4165904406f479",10363,3
"0x31a2feb9b5d3b5f4e76c71d6c92fc46ebb3cb1c1",10360,1
"0x43305382781d9ad351923b8748da7037a160f677",10303,2
"0x9ef182a63b3109b77dc4026c5f8605dc8730fadd",10279,2
"0x302ecaac5214f6ac75ebf5af8a1941aa9d670811",10269,2
"0xfd6658bbf39665c765b7659a0ac316576b6acc94",10107,2
"0x08920622dae1e2899e52a77de533a1fae50b9f79",10022,2
"0x9c92a1b44562a9312b1bf242e6168ee042ca03fc",10021,2
"0x45c83f34ca871fc3c17b32f700d2dbb285ce02ea",10014,2
"0xe64206209b751366d69ceb79b5f37f8629a2010d",10002,2
"0x27447dbd2ee1bc2e2757cfbb6dc97fef8cbb9354",10000,1
"0xa2a8f158aed54ce9a73d41eeec23bf3a51b5654d",9969,1
"0xc42dea1d2dd666f661025feb931a82f1f74ba4b1",9848,2
"0xfbf2173154f7625713be22e0504404ebfe021eae",9840,1
"0xce0f3d20783304ace062214e50729e7d96491b83",9828,2
"0x6bdd15d26ee026c0cb952e3d7fd7535cf7e1ef20",9786,1
"0x7cc06623ecb900f55e83b3b2301062e2eaa7e5b8",9770,2
"0x506c082ae6caabba8a37bd5a8b671aeac4f68164",9766,1
"0x5b2a5d1ab8a5b83c0f22cb1df372d23946aa7d8f",9743,2
"0x7a3cdc2e82c354e1a3bc51626726f20de661620b",9724,2
