address,uniswap,label,verified
0x00000000000c2e074ec69a0dfb2997ba6c7d2e1e,False,ENS: Registry with Fallback,True
0x866e82a600a1414e583f7f13623f1ac5d58b0afa,False,,True
0xbb2b8038a1640196fbe3e38816f3e67cba72d940,False,Uniswap V2: WBTC,True
0x7c8406384f7a5c147a6add16407803be146147e4,False,,True
0x6da3be5c443be54567128409f078ceaee08e9828,False,,False
0x509fde8900840c1f8900f3325c0000bdaa00b500,False,,False
0xfa244e8ee58197f0acdc2254358bdae3769b7b7a,False,,False
0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,False,CryptoPunks:  Ͼ Token,True
0x9161000056093dc4a9d2001a7a00002f4a0064c0,False,,False
0xa43fe16908251ee70ef74718545e4fe6c5ccec9f,False,,True
